NAME;X;Y;Z
0381.0006;2703915.63;1203781.8;796.25
0381.0004;2703925.88;1203806.29;785.71
2202.0000;2703943.8;1203863.29;765.3
0400.0006;2703943.08;1203945.6;743.86
0393.0000;2703974.7;1204124.08;710.38
0400.0021;2704007.97;1204182.02;691.11
0400.0028;2704035.62;1204283.88;644.14
3011.0002;2703882.93;1203870.82;757.29
0366.0010;2703807.26;1204011.89;726.84
2500.0002;2703785.16;1203967.4;728.11
0366.0014;2703813.93;1203942.79;732.5
0369.0002;2703821.33;1203854.5;762.23
0366.0003;2703773.93;1204025.86;714.79
0338.0001;2703418.56;1203995.3;696.42
0338.0002;2703430.46;1204002.75;694.27
0339.0000;2703445.06;1204031.22;676.35
0338.0006;2703471.35;1204010.29;686.26
0340.0000;2703495.6;1204030.42;673.72
